Date,Open,High,Low,Close,Adj Close,Volume
1990-06-18,1.401786,1.522321,1.370536,41.500000,1.482143,228984000
1990-06-25,1.482143,1.602679,1.437500,44.750000,1.598214,230403600
1990-07-02,1.589286,1.607143,1.544643,44.750000,1.598214,137858000
1990-07-09,1.607143,1.705357,1.598214,46.750000,1.669643,334121200
1990-07-16,1.669643,1.683036,1.428571,41.000000,1.464286,345688000
1990-07-23,1.464286,1.544643,1.428571,41.375000,1.477679,177920400
1990-07-30,1.455357,1.562500,1.419643,41.250000,1.473214,191766400
1990-08-06,1.392857,1.455357,1.366071,38.750000,1.383929,169954400
1990-08-13,1.357143,1.437500,1.276786,36.500000,1.303571,179085200
1990-08-20,1.303571,1.339286,1.196429,35.500000,1.267857,143984400
1990-08-27,1.312500,1.370536,1.285714,37.000000,1.321429,142660000
1990-09-03,1.303571,1.339286,1.254464,36.375000,1.299107,73150000
1990-09-10,1.321429,1.321429,1.178571,34.000000,1.214286,141458800
1990-09-17,1.214286,1.258929,1.107143,31.500000,1.125000,159885600
1990-09-24,1.125000,1.125000,0.973214,29.000000,1.035714,177242800
1990-10-01,1.053571,1.142857,0.937500,28.000000,1.000000,251966400
1990-10-08,1.026786,1.044643,0.910714,28.250000,1.008929,191161600
1990-10-15,1.017857,1.133929,0.866071,31.375000,1.120536,516012000
1990-10-22,1.125000,1.125000,1.058036,30.000000,1.071429,212318400
1990-10-29,1.080357,1.156250,1.031250,31.750000,1.133929,152387200
1990-11-05,1.151786,1.276786,1.142857,35.500000,1.267857,242424000
1990-11-12,1.267857,1.330357,1.241071,35.125000,1.254464,205632000
1990-11-19,1.267857,1.321429,1.241071,36.375000,1.299107,138488000
1990-11-26,1.285714,1.375000,1.285714,36.750000,1.312500,167291600
1990-12-03,1.330357,1.526786,1.321429,42.500000,1.517857,349462400
1990-12-10,1.508929,1.517857,1.392857,39.875000,1.424107,272157200
1990-12-17,1.392857,1.616071,1.392857,45.000000,1.607143,309990800
1990-12-24,1.598214,1.607143,1.526786,43.000000,1.535714,80844400
1990-12-31,1.535714,1.580357,1.500000,43.250000,1.544643,122740800
1991-01-07,1.535714,1.687500,1.517857,47.000000,1.678571,434932400
1991-01-14,1.642857,1.883929,1.642857,50.250000,1.794643,582111600
1991-01-21,1.776786,1.915179,1.776786,53.500000,1.910714,363510000
1991-01-28,1.901786,2.066964,1.866071,55.750000,1.991071,378238000
1991-02-04,1.991071,2.151786,1.955357,59.875000,2.138393,420064400
1991-02-11,2.142857,2.196429,2.026786,57.624996,2.058036,386654800
1991-02-18,2.053571,2.223214,2.049107,59.750000,2.133929,215832400
1991-02-25,2.151786,2.160714,2.008929,57.750000,2.062500,284289600
1991-03-04,2.071429,2.437500,2.035714,65.000000,2.321429,424429600
1991-03-11,2.303571,2.410714,2.223214,66.250000,2.366071,253876000
1991-03-18,2.348214,2.508929,2.223214,63.250000,2.258929,408209200
1991-03-25,2.267857,2.508929,2.258929,68.000000,2.428571,184601200
1991-04-01,2.428571,2.598214,2.410714,69.375000,2.477679,243706400
1991-04-08,2.473214,2.616071,2.383929,71.750000,2.562500,282909200
1991-04-15,2.205357,2.321429,2.125000,59.625004,2.129464,794558800
1991-04-22,2.125000,2.250000,2.062500,58.625000,2.093750,260050000
1991-04-29,2.089286,2.151786,1.678571,49.000000,1.750000,960341200
1991-05-06,1.732143,1.901786,1.723214,51.250000,1.830357,284883200
1991-05-13,1.866071,1.919643,1.660714,47.000000,1.678571,458357200
1991-05-20,1.687500,1.696429,1.571429,45.875000,1.638393,286255200
1991-05-27,1.642857,1.705357,1.616071,47.000000,1.678571,232912400
1991-06-03,1.678571,1.767857,1.629464,46.125000,1.647321,214723600
1991-06-10,1.642857,1.683036,1.455357,41.125000,1.468750,307073200
1991-06-17,1.464286,1.544643,1.455357,42.000000,1.500000,235071200
1991-06-24,1.491071,1.553571,1.437500,41.500000,1.482143,266047600
1991-07-01,1.508929,1.642857,1.491071,45.625000,1.629464,239223600
1991-07-08,1.616071,1.723214,1.607143,46.750000,1.669643,242191600
1991-07-15,1.669643,1.669643,1.508929,46.000000,1.642857,274162000
1991-07-22,1.633929,1.660714,1.589286,44.875000,1.602679,128304400
1991-07-29,1.616071,1.794643,1.589286,50.000000,1.785714,242351200
1991-08-05,1.776786,1.848214,1.705357,50.750000,1.812500,219164400
1991-08-12,1.812500,1.964286,1.803571,53.250000,1.901786,233545200
1991-08-19,1.767857,1.982143,1.732143,53.000000,1.892857,287837200
1991-08-26,1.892857,1.937500,1.866071,53.000000,1.892857,122256400
1991-09-02,1.883929,1.901786,1.803571,51.500000,1.839286,86329600
1991-09-09,1.848214,1.910714,1.732143,48.625000,1.736607,193317600
1991-09-16,1.758929,1.821429,1.660714,50.625000,1.808036,207256000
1991-09-23,1.785714,1.812500,1.723214,49.000000,1.750000,95564000
1991-09-30,1.758929,1.848214,1.696429,48.250000,1.723214,118235600
1991-10-07,1.714286,1.750000,1.660714,48.500000,1.732143,161742000
1991-10-14,1.750000,1.982143,1.741071,55.000000,1.964286,299882800
1991-10-21,1.973214,2.008929,1.812500,51.250000,1.830357,194650400
1991-10-28,1.839286,1.883929,1.767857,51.000000,1.821429,190103200
1991-11-04,1.812500,1.919643,1.696429,53.250000,1.901786,330061200
1991-11-11,1.910714,1.973214,1.776786,50.000000,1.785714,240626400
1991-11-18,1.785714,1.875000,1.776786,51.250000,1.830357,224246400
1991-11-25,1.821429,1.866071,1.785714,50.750000,1.812500,78758400
1991-12-02,1.812500,1.857143,1.732143,48.750000,1.741071,149623600
1991-12-09,1.750000,1.812500,1.732143,50.375000,1.799107,122970400
